REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex
420032871443254,9568.596,18214.207,-13.0078,300.870394,44.548831,12.590361,0.205613,12.120755,0.205613,2411313.525193,159628.3,-11.4033,-13.2568,3.5,3357.857,1827.466,80.41,0.579,3.4E-5,19.12,0.009506,3.6301,0.0,12.130394,99.0,1.006481,-0.060654,0.465,143761827,i,83,425681,98,268443648,1349124096,136,121,104,81,64,52,31,15,28,1,2077,19,0,0,5,0,0,98,751,12.120755,99.0,300.870015,44.548705,-9.2,-13.6,0,0,7.0E-4,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411521.709441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.512365,0.0,0.0,0.0,0.0,0,i,1263,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2048,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0
420032871443254,1415.252,8186.604,-13.3855,300.869325,44.54906,12.67339,0.173527,12.195076,0.115861,2411610.664648,226045.3,-11.3369,-13.6647,5.13,3597.877,2005.041,74.58,0.067,5.5E-5,15.07,0.007493,3.9074,0.0,13.619064,0.167707,1.774817,0.052063,0.42,143761827,i,1756,304638,98,0,1349451776,222,211,187,149,116,85,36,12,45,0,904,19,0,0,6,0,0,98,931,12.195076,99.0,300.870012,44.548702,-9.2,-13.6,0,0,7.0E-4,0
420032871443254,16213.624,8164.06,-12.8678,300.871381,44.546848,13.16429,0.19971,12.653355,0.105036,2411640.603137,140316.1,-11.2439,-13.3547,5.11,4486.691,1578.72,-62.16,0.389,3.5E-5,18.17,0.009028,3.9944,0.0,13.344846,0.156085,1.927081,0.099281,0.436,143761827,i,1893,152922,98,8388608,1349386243,139,130,113,95,77,57,33,14,78,0,946,19,0,0,6,1,0,98,550,12.653355,99.0,300.870012,44.548702,-9.2,-13.6,0,0,7.0E-4,0
420032871443254,8783.264,14096.706,-12.6286,300.869784,44.548969,12.832103,0.174965,12.287378,0.144686,2411698.539245,112570.4,-11.7855,-12.7719,3.5,4089.277,2480.177,67.24,0.213,1.8E-5,8.61,0.004291,1.556,0.0,13.834702,0.159154,1.253952,-0.071673,0.596,143761827,i,2351,155689,98,0,1349451776,71,66,59,52,43,35,23,14,46,0,1625,19,0,0,1,0,0,98,674,12.287378,99.0,300.870011,44.548701,-9.2,-13.6,0,0,7.0E-4,0
420032871443254,8557.466,14326.567,-12.9096,300.870011,44.548558,12.955906,0.136344,12.344961,0.121912,2411720.480682,145822.5,-11.3948,-13.176,4.87,3785.801,1823.407,60.97,0.128,3.6E-5,14.21,0.00708,1.6724,0.0,13.57619,0.107007,1.184527,-0.01344,0.603,143761827,i,2513,820805,98,128,1349453824,142,132,119,97,75,56,28,11,181,0,1624,19,0,0,1,0,16,98,674,12.29523,0.101021,300.870011,44.548701,-9.2,-13.6,0,0,7.0E-4,0
420032871443254,8886.112,14293.8,-12.9212,300.869975,44.54881,13.029079,0.144221,12.392622,0.106197,2411746.448039,147396.3,-11.8013,-12.9741,3.5,3627.531,2565.337,60.49,0.194,3.0E-5,8.57,0.004274,1.6568,0.0,14.437643,0.17988,1.566234,-0.125638,0.744,143761827,i,2801,756899,98,0,1349451776,114,107,89,79,63,53,35,18,87,0,1625,19,0,0,1,0,0,98,1073,12.392622,99.0,300.870011,44.548701,-9.2,-13.6,0,0,7.0E-4,0
420032871443254,2927.816,13194.876,-10.4,300.869776,44.549657,12.831657,2.733076,12.405679,2.733076,2411986.572411,14454.0,-10.1642,-11.1944,5.95,4218.595,706.2563,-83.39,0.041,6.0E-6,9.42,0.004685,3.0808,0.0,12.468682,99.0,1.325211,-0.17151,0.399,143761827,i,4197,1220149,98,302004224,1349124099,26,23,20,14,10,8,6,5,29,1,1508,19,0,0,4,0,0,98,-1,12.405679,99.0,300.870008,44.548698,-9.2,-13.6,0,0,7.0E-4,0
420032871443254,3507.952,3871.869,-11.1359,300.86795,44.548728,12.301406,1.448665,11.871073,1.448665,2412041.450372,28469.4,-9.8279,-11.1415,4.53,3776.168,809.7066,-89.12,0.55,1.7E-5,15.89,0.007894,4.3968,0.0,12.363921,99.0,99.0,-0.203372,0.405,143761827,i,4708,333837,98,302037120,1483343875,70,59,48,36,26,13,3,1,25,5,410,19,0,0,7,0,8,98,440,11.90314,0.123715,300.870008,44.548698,-9.2,-13.6,0,0,7.0E-4,0
420032871443254,5074.749,3684.446,-12.1828,300.873113,44.550066,12.956399,0.26486,12.847317,99.0,2412335.583767,74665.59,-10.9635,-12.9223,6.44,3027.379,1973.188,2.0,0.445,1.9E-5,16.76,0.008326,4.0536,0.0,13.208908,0.189825,1.963471,-0.316264,0.401,143761827,i,6786,100770,98,8401024,1349386243,77,68,55,38,17,7,2,1,38,0,414,19,0,0,6,0,16,98,822,12.847317,99.0,300.870005,44.548695,-9.2,-13.6,0,0,7.0E-4,0
