REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex
420070911442017,8254.176,17784.916,-13.0595,301.787883,44.338354,12.564954,0.202206,12.095352,0.202206,2411313.525247,167420.1,-11.5954,-13.172,3.5,3519.594,2137.754,-85.36,0.417,3.2E-5,19.26,0.009578,3.3985,0.0,12.096087,99.0,1.285971,-0.046385,0.462,143531615,i,83,414225,98,268443648,1349126144,131,129,120,96,81,66,42,21,24,1,2023,19,0,0,5,0,0,98,749,12.059627,0.122942,301.787884,44.338335,1.7,-9.3,0,0,7.0E-4,0
420070911442017,14927.031,7661.993,-13.3447,301.787665,44.3385,12.772738,0.177358,12.165518,0.135209,2411640.603202,217716.3,-11.4575,-13.4308,3.5,4883.209,1911.063,-32.84,0.187,4.8E-5,16.33,0.008122,3.5135,0.0,13.69691,0.153915,1.379978,0.11992,0.433,143531615,i,1893,144581,98,0,1349453824,193,183,159,133,115,89,63,27,42,0,892,19,0,0,5,1,0,98,529,12.090145,0.159458,301.787885,44.338332,1.7,-9.3,0,0,7.0E-4,0
420070911442017,7469.216,13673.545,-12.8233,301.787823,44.338452,12.590589,0.173189,12.096574,0.118432,2411698.539283,134682.9,-11.9135,-12.9947,3.5,4057.371,2848.088,38.08,0.152,2.1E-5,7.99,0.003982,1.4785,0.0,13.885412,0.130573,1.249814,-0.129651,0.59,143531615,i,2351,150096,98,0,1349453824,84,78,67,58,48,37,24,14,49,0,1571,19,0,0,1,0,0,98,654,12.050983,0.13187,301.787885,44.338332,1.7,-9.3,0,0,7.0E-4,0
420070911442017,7249.504,13882.638,-13.0475,301.78839,44.338573,12.840542,0.129784,12.205635,0.099203,2411720.480697,165578.3,-11.5541,-13.1686,3.5,3811.186,2026.397,54.21,0.289,4.1E-5,12.95,0.006453,1.6299,0.0,13.552228,0.106901,1.270202,0.003612,0.596,143531615,i,2513,796943,98,128,1349453824,167,155,133,107,81,59,36,19,154,0,1570,19,0,0,1,0,16,98,672,12.155828,0.094748,301.787885,44.338332,1.7,-9.3,0,0,7.0E-4,0
420070911442017,7573.984,13865.218,-13.0743,301.787938,44.338331,12.834455,0.147403,12.120459,0.099723,2411746.448025,169717.4,-11.8664,-13.4532,5.33,3657.414,2783.317,-87.26,0.159,3.8E-5,8.25,0.004113,1.547,0.0,14.360104,0.161367,1.51044,-0.049869,0.734,143531615,i,2801,723788,98,0,1349451776,151,128,109,85,66,48,31,16,78,0,1571,19,0,0,1,0,0,98,654,12.120459,99.0,301.787885,44.338331,1.7,-9.3,0,0,7.0E-4,0
420070911442017,3748.54,3288.029,-11.8808,301.789327,44.339334,12.682379,0.784539,12.281379,0.784539,2412335.583819,56537.11,-10.7318,-12.8428,5.97,2936.484,1442.692,30.77,0.535,1.6E-5,16.45,0.008162,4.5506,0.0,12.529652,99.0,99.0,-0.335581,0.401,143531615,i,6786,81270,98,369139840,23726083,64,55,42,23,19,8,3,2,17,5,360,19,0,0,7,0,16,98,421,12.223845,0.134463,301.787886,44.338327,1.7,-9.3,0,0,7.0E-4,0
420070911442017,3311.542,12936.87,-12.7269,301.787888,44.338287,12.79081,0.189947,12.281332,0.12903,2412347.606642,123238.2,-11.5627,-13.0872,4.51,4471.559,1943.654,87.4,0.249,2.6E-5,11.1,0.005526,2.879,0.0,13.713103,0.134231,1.444852,0.092274,0.402,143531615,i,6863,279962,98,128,1349453824,107,100,89,72,57,42,29,20,43,0,1459,19,0,0,3,0,17,98,1042,12.244846,0.130111,301.787886,44.338327,1.7,-9.3,0,0,7.0E-4,0
420070911442017,10137.093,12686.418,-11.0504,301.788315,44.337369,12.20892,0.286296,11.818049,0.207897,2412350.591122,26312.62,-10.6778,-11.2623,3.5,3840.645,1502.023,-49.94,0.176,9.0E-6,7.47,0.003723,1.0989,0.0,12.396339,0.184665,1.771714,-0.035736,0.4,143531615,i,6919,645822,98,0,1349451776,36,32,25,18,10,7,2,2,68,0,1428,19,0,0,1,0,0,98,-1,11.818049,99.0,301.787886,44.338327,1.7,-9.3,0,0,7.0E-4,0
420070911442017,10813.326,13144.49,-12.6454,301.787474,44.338462,12.459062,0.105286,12.057185,0.085088,2412360.590245,114333.2,-11.8572,-12.7483,3.56,4045.039,2945.229,54.39,0.042,2.4E-5,6.54,0.003261,1.509,0.0,12.808123,0.096051,0.970289,0.019398,0.408,143531615,i,7092,503360,98,128,1349451776,93,80,68,57,45,34,23,13,65,0,1481,19,0,0,1,0,16,98,658,12.057185,99.0,301.787886,44.338327,1.7,-9.3,0,0,7.0E-4,0
420070911442017,3344.305,12569.998,-12.7331,301.78774,44.338327,12.816961,0.175263,12.159221,0.074876,2412369.548091,123946.2,-11.5626,-12.935,3.87,4097.603,2078.974,-4.54,0.069,2.6E-5,10.43,0.005192,2.7847,0.0,12.67226,0.111966,0.903432,0.233477,0.402,143531615,i,7186,403300,98,128,1349453824,106,101,89,75,65,57,42,24,62,0,1409,19,0,0,3,0,17,98,629,12.134689,0.09466,301.787886,44.338327,1.7,-9.3,0,0,7.0E-4,0
