REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex
420051481440301,8940.129,17206.588,-12.8973,301.312114,44.050287,12.647782,0.217651,12.380312,0.18324,2411313.525205,144186.6,-11.5922,-13.0466,3.5,3523.808,2331.984,-88.4,0.306,2.8E-5,15.29,0.007607,3.106,0.0,13.520627,0.134333,1.185067,-0.198078,0.464,143234288,i,83,397889,98,0,1349451776,114,105,88,71,53,39,19,7,62,0,1975,19,0,0,4,0,0,98,1130,12.380312,99.0,301.311914,44.05028,-3.1,-0.7,0,0,7.0E-4,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411521.709441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.24206,0.0,0.0,0.0,0.0,0,i,1263,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2048,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0
420051481440301,718.532,7223.842,-12.7648,301.311884,44.050675,12.588018,0.526419,12.145798,0.526419,2411610.664701,127625.7,-10.9576,-12.9639,3.5,3511.985,1527.431,-87.15,0.197,4.0E-5,16.07,0.007982,4.413,0.0,12.733047,99.0,2.389109,-0.399652,0.419,143234288,i,1756,272842,98,268443776,1483407362,164,152,131,92,69,44,21,7,22,1,802,19,0,0,8,0,8,98,912,12.54545,99.0,301.311913,44.05028,-3.1,-0.7,0,0,7.0E-4,0
420051481440301,15648.416,7128.859,-12.4991,301.311742,44.051871,13.364089,0.197897,12.853425,0.139169,2411640.603178,99921.04,-11.1776,-12.851,3.5,4636.351,1435.39,63.26,0.239,2.7E-5,15.65,0.007778,3.955,0.0,13.345117,0.147292,1.5991,0.104302,0.435,143234288,i,1893,136118,98,75505664,1349386243,110,100,91,84,68,48,24,8,43,0,844,19,0,0,6,1,0,98,929,12.853425,99.0,301.311913,44.05028,-3.1,-0.7,0,0,7.0E-4,0
420051481440301,8152.442,13093.27,-12.3255,301.31152,44.049891,13.16064,0.183209,12.569846,0.138564,2411698.539239,85154.98,-11.6139,-12.4772,3.5,4321.704,2352.682,43.85,0.188,1.4E-5,8.53,0.004253,1.0904,0.0,13.788633,0.167492,1.093623,-0.0282,0.595,143234288,i,2351,142843,98,0,1349451776,57,56,48,42,35,28,19,9,100,0,1473,19,0,0,1,0,0,98,1034,12.569846,99.0,301.311913,44.05028,-3.1,-0.7,0,0,7.0E-4,0
420051481440301,7941.826,13313.147,-12.6791,301.312471,44.049916,13.137351,0.144651,12.515736,0.120347,2411720.480657,117930.9,-11.4541,-12.939,4.12,3847.896,2284.062,68.45,0.31,2.9E-5,14.45,0.007203,1.2322,0.0,13.56552,0.086841,1.009217,-0.00454,0.601,143234288,i,2513,762505,98,33554560,1349386242,114,104,88,69,45,29,12,6,57,0,1522,19,0,0,1,0,16,98,654,12.515736,99.0,301.311913,44.05028,-3.1,-0.7,0,0,7.0E-4,0
420051481440301,8258.546,13288.669,-12.78,301.311943,44.050185,13.189263,0.145184,12.497653,0.110541,2411746.447997,129419.3,-11.663,-12.9579,3.85,3865.313,2318.084,44.18,0.263,3.1E-5,9.76,0.00487,1.1744,0.0,14.38249,0.156431,2.017674,-0.071675,0.742,143234288,i,2801,680550,98,0,1349451776,123,113,92,75,61,45,31,16,157,0,1523,19,0,0,1,0,0,98,1053,12.497653,99.0,301.311913,44.05028,-3.1,-0.7,0,0,7.0E-4,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411986.570025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.673293,0.0,0.0,0.0,0.0,0,i,4197,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2048,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0
420051481440301,3983.322,12340.927,-12.2542,301.311474,44.050089,13.230955,0.189301,12.704905,0.163525,2412347.606634,79738.89,-11.4795,-12.5365,4.16,4601.038,1902.971,89.29,0.318,1.6E-5,8.54,0.004252,2.4693,0.0,13.696531,0.146861,1.163243,0.113214,0.402,143234288,i,6863,268851,98,128,1349453824,65,61,55,47,39,30,22,15,65,0,1411,19,0,0,3,0,17,98,1023,12.660673,0.100694,301.311911,44.05028,-3.1,-0.7,0,0,7.0E-4,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2412350.58865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.415532,0.0,0.0,0.0,0.0,0,i,6919,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2048,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0
420051481440301,11516.764,12589.674,-12.3008,301.311776,44.050228,12.827065,0.139753,12.424905,99.0,2412360.590227,83235.23,-11.6378,-12.4358,3.5,4044.704,2530.124,8.16,0.106,1.9E-5,7.0,0.003488,1.6178,0.0,12.80784,0.11231,0.947543,0.012349,0.408,143234288,i,7092,476705,98,12416,1349386240,78,67,54,43,35,28,18,9,83,0,1433,19,0,0,1,0,16,98,639,12.424905,99.0,301.311911,44.05028,-3.1,-0.7,0,0,7.0E-4,0
420051481440301,4020.688,11980.046,-12.5682,301.31116,44.050522,12.977141,0.168406,12.356713,0.093701,2412369.548067,106484.2,-11.5253,-12.7505,3.5,4125.464,2130.936,-52.33,0.261,2.6E-5,9.84,0.004901,2.3856,0.0,12.709572,0.112479,0.703395,0.202561,0.402,143234288,i,7186,379556,98,8396928,1349386240,106,96,78,66,52,39,27,15,67,0,1361,19,0,0,3,0,17,98,1010,12.356713,99.0,301.311911,44.05028,-3.1,-0.7,0,0,7.0E-4,0
420051481440301,11189.969,12182.199,-12.9784,301.311898,44.050438,12.841511,0.126943,12.456074,0.092888,2412371.523494,155364.5,-11.9405,-13.0352,3.5,3884.476,2967.751,60.8,0.095,3.3E-5,7.19,0.003584,1.3582,0.0,14.697794,0.116452,1.695871,-0.012402,0.399,143234288,i,7203,742111,98,128,1349451776,131,116,100,84,70,54,38,19,169,0,1381,19,0,0,1,0,1,98,1019,12.456074,99.0,301.311911,44.05028,-3.1,-0.7,0,0,7.0E-4,0
420051481440301,3824.456,11965.558,-12.8276,301.311254,44.050177,12.834101,0.182159,12.471547,0.097887,2412672.696906,135216.7,-11.4552,-12.9608,3.5,4601.445,1783.726,55.2,0.063,3.3E-5,10.38,0.005168,2.5021,0.0,13.367446,0.095803,0.975867,-0.045121,0.398,143234288,i,8962,277757,98,0,1349451776,134,129,117,103,83,65,44,23,54,0,1360,19,0,0,3,0,0,98,1010,12.471547,99.0,301.31191,44.05028,-3.1,-0.7,0,0,7.0E-4,0
420051481440301,11122.353,12280.971,-11.419,301.312187,44.04992,13.061113,0.19831,12.687212,0.193903,2412674.755529,36948.04,-10.9401,-12.0481,5.86,5788.284,1334.052,59.92,0.05,1.1E-5,6.28,0.003131,1.3713,0.0,13.681668,0.141383,0.896716,-0.023331,0.422,143234288,i,8993,232640,98,128,1349451776,45,41,38,29,22,14,10,6,82,0,1381,19,0,0,1,2,17,98,1038,12.687212,99.0,301.31191,44.05028,-3.1,-0.7,0,0,7.0E-4,0
