REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex
420035311440920,9429.465,17421.654,-13.0683,300.972043,44.155634,12.479671,0.209002,12.220828,0.136564,2411313.525186,168773.8,-11.6577,-13.0981,3.5,3549.82,2540.028,-89.38,0.272,3.1E-5,13.49,0.006713,3.231,0.0,13.529254,0.135368,1.226218,-0.208713,0.466,143333532,i,83,404049,98,0,1349451776,126,122,108,80,61,41,25,6,49,0,1977,19,0,0,4,0,0,98,751,12.220828,99.0,300.971379,44.155532,1.7,0.5,0,0,7.0E-4,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411521.709441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.377303,0.0,0.0,0.0,0.0,0,i,1263,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2048,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0
420035311440920,1223.669,7401.66,-12.6491,300.970502,44.153681,13.246459,0.232045,12.842107,0.14066,2411610.664678,114720.8,-11.1399,-12.7472,3.5,3656.3,1465.374,-88.55,0.458,3.2E-5,19.6,0.009738,4.1484,0.0,13.781674,0.113262,2.173406,-0.023039,0.42,143333532,i,1756,278339,98,8388608,1349386243,134,131,125,106,93,69,43,12,34,0,803,19,0,0,6,0,0,98,912,12.842107,99.0,300.97138,44.155532,1.7,0.5,0,0,7.0E-4,0
420035311440920,16122.213,7365.12,-12.4074,300.973678,44.153564,13.407622,0.204967,12.968383,0.139169,2411640.603153,91821.02,-11.2115,-12.3705,6.71,4696.907,1492.72,76.35,0.12,2.8E-5,14.16,0.007036,4.1095,0.0,13.416542,0.174482,2.068233,0.032025,0.436,143333532,i,1893,140007,98,77602816,1349386243,120,119,114,98,79,57,45,23,31,0,846,19,0,0,6,1,0,98,930,12.968383,99.0,300.97138,44.155532,1.7,0.5,0,0,7.0E-4,0
420035311440920,2089.99,17950.006,-12.5779,300.969113,44.15704,12.655864,0.582219,12.377195,0.212361,2411692.45443,107435.3,-11.0326,-12.2684,6.43,3626.818,1440.766,-29.83,0.449,3.7E-5,19.12,0.009483,4.7809,0.0,13.079882,0.167439,1.901222,-0.201178,0.432,143333532,i,2302,872014,98,109051904,1349386243,158,158,151,138,115,74,39,15,33,0,2006,19,0,0,7,0,0,98,1141,12.377195,99.0,300.97138,44.155532,1.7,0.5,0,0,7.0E-4,0
420035311440920,8642.469,13306.737,-12.4393,300.97082,44.155531,13.043704,0.176166,12.46174,0.165081,2411698.539227,94564.57,-11.7401,-12.6241,3.5,4217.864,2590.079,78.44,0.206,1.4E-5,11.84,0.005904,1.1622,0.0,13.797463,0.159907,1.31485,-0.038154,0.596,143333532,i,2351,145341,98,0,1349451776,58,53,49,42,36,28,20,7,97,0,1524,19,0,0,1,0,0,98,1054,12.46174,99.0,300.97138,44.155532,1.7,0.5,0,0,7.0E-4,0
420035311440920,8428.071,13534.756,-12.6771,300.97198,44.155626,13.138851,0.144722,12.540901,0.100424,2411720.480654,117712.4,-11.4322,-12.8603,3.5,3894.946,1928.736,-79.35,0.218,3.0E-5,12.5,0.00623,1.2852,0.0,13.589185,0.123016,1.155632,-0.032335,0.605,143333532,i,2513,776094,98,16777344,1349386240,122,114,98,79,64,41,27,11,58,0,1524,19,0,0,1,0,16,98,655,12.540901,99.0,300.97138,44.155532,1.7,0.5,0,0,7.0E-4,0
420035311440920,8746.634,13503.931,-12.9543,300.97202,44.155695,12.988986,0.144861,12.316193,0.1129,2411746.448004,151962.6,-11.7422,-13.1168,4.81,3858.649,2580.057,63.85,0.458,3.7E-5,14.51,0.007237,1.2608,0.0,14.401307,0.166553,1.407206,-0.097602,0.749,143333532,i,2801,696674,98,0,1349451779,152,134,108,80,67,53,38,21,144,0,1525,19,0,0,1,0,0,98,655,12.316193,99.0,300.97138,44.155532,1.7,0.5,0,0,7.0E-4,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411986.570025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67603,0.0,0.0,0.0,0.0,0,i,4197,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2048,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0
420035311440920,4476.958,12542.848,-12.5375,300.97209,44.155641,12.853642,0.194867,12.384232,0.138097,2412347.60661,103517.2,-11.6148,-12.5911,4.55,4661.068,2192.011,-89.21,0.412,2.0E-5,11.5,0.005727,2.2667,0.0,13.850914,0.121315,0.985411,0.076357,0.402,143333532,i,6863,272533,98,128,1349451776,80,78,64,55,43,35,26,15,65,0,1412,19,0,0,2,0,17,98,1024,12.384232,99.0,300.971381,44.155532,1.7,0.5,0,0,7.0E-4,0
