REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex
420052111444423,8898.945,18592.492,-12.0711,301.336937,44.739102,12.97051,0.365802,12.61669,99.0,2411313.525231,67366.57,-11.1986,-12.5351,3.5,3219.402,1827.039,80.38,0.464,1.4E-5,13.94,0.00693,3.7934,0.0,12.990758,0.177117,1.162958,-0.139804,0.463,143958521,i,83,437186,98,75509760,1349386243,57,52,46,37,26,19,10,4,34,0,2125,19,0,0,6,0,0,98,1168,12.61669,99.0,301.337967,44.73988,-2.7,-6.5,0,0,7.0E-4,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411521.709441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.239307,0.0,0.0,0.0,0.0,0,i,1263,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2048,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0
420052111444423,767.713,8608.912,-13.014,301.338162,44.739738,12.921396,0.327367,12.522473,0.239467,2411610.664657,160552.4,-11.057,-13.1564,3.76,3516.507,1517.727,12.92,0.235,4.3E-5,22.56,0.01121,4.145,0.0,13.387421,0.203901,1.673911,-0.047917,0.419,143958521,i,1756,318391,98,0,1349451776,171,162,145,125,102,68,37,11,50,0,952,19,0,0,7,0,0,98,931,12.522473,99.0,301.337966,44.739878,-2.7,-6.5,0,0,7.0E-4,0
420052111444423,15521.603,8507.959,-12.6544,301.337357,44.740613,13.40486,0.16315,12.867164,0.168063,2411640.603163,115279.4,-11.0797,-12.784,3.5,4777.542,1372.149,62.68,0.174,3.1E-5,14.9,0.007409,3.6127,0.0,13.766434,0.1828,2.149816,0.056296,0.435,143958521,i,1893,158412,98,0,1349451778,128,125,121,102,85,61,38,19,57,0,994,19,0,0,5,1,0,98,948,12.867164,99.0,301.337966,44.739878,-2.7,-6.5,0,0,7.0E-4,0
420052111444423,8114.993,14477.506,-12.6462,301.337372,44.739757,12.811307,0.174628,12.267208,99.0,2411698.539283,114413.5,-11.5518,-12.7814,3.5,3957.455,2337.814,-86.45,0.268,2.0E-5,11.11,0.005538,1.7695,0.0,13.835328,0.143317,1.119197,-0.076669,0.592,143958521,i,2351,160649,98,4096,1349451776,82,77,72,58,49,36,20,7,42,0,1623,19,0,0,1,0,0,98,673,12.267208,99.0,301.337966,44.739878,-2.7,-6.5,0,0,7.0E-4,0
420052111444423,7883.468,14697.494,-12.3863,301.337295,44.739993,13.26832,0.165261,12.643654,0.131656,2411720.480714,90059.23,-11.0561,-12.7211,3.89,3767.265,1737.107,-57.61,0.022,3.0E-5,14.36,0.007153,1.9039,0.0,13.367907,0.167712,1.019305,-0.024838,0.598,143958521,i,2513,836565,98,16777344,1349388288,120,111,85,65,38,26,10,5,83,0,1672,19,0,0,2,0,16,98,692,12.618011,0.163712,301.337966,44.739878,-2.7,-6.5,0,0,7.0E-4,0
420052111444423,8215.657,14671.847,-12.881,301.338205,44.739795,13.006191,0.198218,12.339045,0.11552,2411746.448059,142035.0,-11.5402,-12.9409,3.5,3539.859,2242.412,64.11,0.368,3.7E-5,12.95,0.006455,1.8587,0.0,14.088588,0.110485,1.393158,-0.066534,0.736,143958521,i,2801,783955,98,0,1349451776,151,137,114,90,71,46,25,12,38,0,1673,19,0,0,2,0,0,98,673,12.339045,99.0,301.337966,44.739878,-2.7,-6.5,0,0,7.0E-4,0
420052111444423,3780.76,3581.782,-12.7102,301.340084,44.740922,13.02099,0.661296,12.762835,0.186554,2412345.558765,121360.1,-10.9611,-13.3485,4.87,3077.487,1308.186,-30.05,0.146,3.2E-5,21.3,0.010578,4.4216,0.0,13.239226,0.167608,1.207277,-0.129389,0.401,143958521,i,6847,81983,98,109052032,1349388291,131,120,111,98,73,50,28,10,39,0,410,19,0,0,7,0,17,98,820,12.721043,0.097897,301.337964,44.739875,-2.7,-6.5,0,0,7.0E-4,0
420052111444423,3976.561,13726.67,-12.6024,301.337469,44.740101,12.917251,0.189548,12.409985,0.100401,2412347.606596,109886.8,-11.312,-12.9207,3.5,4397.671,1703.262,-86.46,0.218,2.7E-5,13.39,0.006665,2.7437,0.0,13.715315,0.175118,1.236848,0.092274,0.402,143958521,i,6863,294939,98,128,1349451776,109,101,85,65,52,41,31,12,174,0,1561,19,0,0,3,0,17,98,1063,12.409985,99.0,301.337964,44.739875,-2.7,-6.5,0,0,7.0E-4,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2412350.58865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.447339,0.0,0.0,0.0,0.0,0,i,6919,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2048,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0
