REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex
420043751435042,9167.186,16794.885,-13.0108,301.156551,43.84492,12.537694,0.212821,12.264726,0.125922,2411313.525188,160080.1,-11.8089,-13.2224,3.5,3603.714,2705.685,-84.5,0.357,2.6E-5,12.06,0.006,2.9083,0.0,13.515129,0.163701,1.145138,-0.19362,0.465,143018680,i,83,386307,98,0,1349451776,103,96,85,71,58,46,30,11,65,0,1926,19,0,0,4,0,0,98,1131,12.264726,99.0,301.156376,43.845024,-4.2,-4.4,0,0,7.0E-4,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411521.709441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.250292,0.0,0.0,0.0,0.0,0,i,1263,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2048,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0
420043751435042,917.377,6797.121,-13.7138,301.157014,43.84477,12.042643,0.507856,11.598823,0.507856,2411610.664707,305870.9,-11.242,-13.7115,3.84,3506.471,2144.6,-82.52,0.007,7.1E-5,22.93,0.011392,4.4196,0.0,12.731447,99.0,2.26174,-0.399652,0.42,143018680,i,1756,258620,98,268435584,1483407362,288,265,237,201,163,109,45,12,26,1,752,19,0,0,8,0,8,98,494,11.998475,99.0,301.156375,43.845023,-4.2,-4.4,0,0,7.0E-4,0
420043751435042,15901.95,6730.812,-13.3389,301.155236,43.846248,12.769451,0.18411,12.297562,0.125268,2411640.603172,216551.2,-11.4195,-13.4914,3.89,4621.206,1727.228,71.43,0.233,5.1E-5,15.55,0.007722,4.1624,0.0,13.383892,0.158278,1.944326,0.066267,0.435,143018680,i,1893,128852,98,0,1349451778,209,196,167,151,135,111,69,32,32,0,795,19,0,0,6,1,0,98,512,12.297562,99.0,301.156375,43.845023,-4.2,-4.4,0,0,7.0E-4,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411692.454802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.158338,0.0,0.0,0.0,0.0,0,i,2302,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2048,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0
420043751435042,8377.104,12682.833,-12.7871,301.156295,43.845073,12.638023,0.172255,12.07669,0.118432,2411698.539218,130270.7,-11.8643,-12.8839,3.5,4272.169,2783.679,36.12,0.062,2.1E-5,8.72,0.004347,0.8661,0.0,13.818094,0.159604,0.958012,-0.061281,0.598,143018680,i,2351,138258,98,0,1349453824,83,72,65,56,45,36,22,11,74,0,1424,19,0,0,1,0,0,98,636,12.023447,0.116098,301.156374,43.845022,-4.2,-4.4,0,0,7.0E-4,0
420043751435042,8174.206,12906.227,-13.2904,301.156538,43.845129,12.626647,0.120086,12.010282,0.095247,2411720.480635,207099.2,-11.6322,-13.6779,5.06,3901.662,2084.561,-8.66,0.2,4.7E-5,15.55,0.007751,1.0036,0.0,13.57077,0.109528,1.105594,-0.01344,0.604,143018680,i,2513,739338,98,128,1349451776,188,173,158,124,95,72,47,24,58,0,1473,19,0,0,1,0,16,98,635,12.010282,99.0,301.156374,43.845022,-4.2,-4.4,0,0,7.0E-4,0
420043751435042,8485.226,12878.361,-13.1569,301.156476,43.844908,12.719572,0.148143,12.035846,0.121667,2411746.447977,183126.1,-11.9562,-13.3809,4.31,3986.151,2962.916,60.21,0.425,3.9E-5,10.77,0.00537,0.9548,0.0,14.390374,0.152814,1.648436,-0.086109,0.748,143018680,i,2801,652756,98,0,1349451778,156,138,108,89,69,54,38,18,149,0,1474,19,0,0,1,0,0,98,636,12.035846,99.0,301.156374,43.845022,-4.2,-4.4,0,0,7.0E-4,0
420043751435042,2486.805,11790.86,-10.605,301.156512,43.84643,12.738424,2.646205,12.489978,99.0,2411986.572462,17457.58,-10.3205,-10.8507,5.33,4104.142,1064.648,-40.93,0.265,7.0E-6,6.94,0.003453,3.122,0.0,12.646214,0.12725,1.245593,-0.182108,0.398,143018680,i,4197,1044941,98,41957376,1349386243,29,27,25,15,10,8,5,2,37,0,1307,19,0,0,4,0,0,98,-1,12.489978,99.0,301.156373,43.845021,-4.2,-4.4,0,0,7.0E-4,0
420043751435042,4643.285,2271.261,-11.6161,301.153108,43.845281,12.770391,0.878042,12.333661,0.878042,2412335.583828,44303.72,-10.6884,-12.4338,5.56,2349.677,1649.143,44.5,0.669,1.1E-5,13.4,0.006646,4.7776,0.0,12.530134,99.0,99.0,-0.377951,0.401,143018680,i,6786,16462,98,310419584,1080688643,45,42,34,25,9,6,4,2,10,5,263,19,0,0,7,0,16,98,403,12.333661,99.0,301.156372,43.84502,-4.2,-4.4,0,0,7.0E-4,0
