REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex
420041841440952,9280.054,17438.008,-13.0215,301.075593,44.164304,12.526963,0.212201,12.246965,0.125922,2411313.525193,161654.0,-11.4445,-13.1092,3.5,3539.807,2004.779,-46.22,0.055,3.2E-5,15.17,0.007546,3.2316,0.0,13.508099,0.137965,1.157086,-0.186126,0.465,143350064,i,83,404432,98,41943040,1349386242,130,118,109,93,70,53,31,8,59,0,1976,19,0,0,4,0,0,98,1150,12.246965,99.0,301.077104,44.164367,-10.7,-1.5,0,0,7.0E-4,0
420041841440952,1835.532,9984.373,-10.0391,301.079227,44.166043,12.178562,0.502287,11.813987,99.0,2411521.710458,10366.41,-8.9407,-10.6998,6.22,7363.579,175.4076,71.85,0.461,2.0E-5,15.81,0.007864,3.4562,0.0,12.242498,0.195305,2.682483,-0.107987,0.472,143350064,i,1263,326202,98,8400896,1349387264,80,76,65,53,47,40,27,20,35,0,1105,19,0,0,5,0,0,98,-1,11.813987,99.0,301.077102,44.164367,-10.7,-1.5,0,0,7.0E-4,0
420041841440952,1073.11,7432.159,-13.306,301.075804,44.164523,12.742877,0.181519,12.340577,0.17424,2411610.664682,210094.7,-10.9876,-13.3674,3.5,3569.692,1650.255,87.75,0.16,5.6E-5,22.64,0.011252,4.2097,0.0,13.783726,0.113262,2.173406,-0.023039,0.42,143350064,i,1756,279629,98,0,1349451776,228,212,198,163,136,77,35,10,34,0,803,19,0,0,6,0,0,98,912,12.340577,99.0,301.077101,44.164367,-10.7,-1.5,0,0,7.0E-4,0
420041841440952,15972.217,7376.879,-13.1165,301.076779,44.164454,12.976126,0.191703,12.471693,0.109391,2411640.60316,176435.3,-11.0721,-13.1921,3.5,4620.626,1402.864,-26.15,0.379,4.9E-5,23.02,0.011433,4.0401,0.0,13.351348,0.165443,1.787163,0.090227,0.435,143350064,i,1893,140294,98,0,1349451776,198,183,162,144,122,97,49,11,46,0,845,19,0,0,6,1,0,98,531,12.471693,99.0,301.077101,44.164367,-10.7,-1.5,0,0,7.0E-4,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411692.454802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.127729,0.0,0.0,0.0,0.0,0,i,2302,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2048,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0
420041841440952,8490.342,13323.262,-12.669,301.076519,44.164089,12.784254,0.174066,12.208986,99.0,2411698.539233,116843.8,-11.6963,-12.8522,3.5,4171.71,2649.705,12.5,0.078,2.0E-5,10.82,0.005393,1.1748,0.0,13.804159,0.159907,1.31485,-0.038154,0.596,143350064,i,2351,145689,98,4096,1349451776,80,75,66,52,40,28,15,6,97,0,1524,19,0,0,1,0,0,98,655,12.208986,99.0,301.0771,44.164366,-10.7,-1.5,0,0,7.0E-4,0
420041841440952,8276.551,13550.415,-12.9043,301.07705,44.165017,12.960252,0.136533,12.358789,0.121912,2411720.480658,145118.0,-11.3305,-13.2336,4.3,3824.521,1735.874,29.45,0.193,3.5E-5,15.09,0.007522,1.3044,0.0,13.585672,0.11862,1.109221,-0.019802,0.603,143350064,i,2513,777651,98,16777344,1349386240,141,130,115,99,81,62,37,14,63,0,1523,19,0,0,1,0,16,98,654,12.358789,99.0,301.0771,44.164366,-10.7,-1.5,0,0,7.0E-4,0
420041841440952,8596.171,13520.194,-12.8019,301.076748,44.164458,13.165317,0.14461,12.501464,0.110541,2411746.448006,132052.8,-11.731,-12.883,3.9,3834.461,2520.664,69.75,0.249,2.9E-5,8.71,0.004342,1.2698,0.0,14.410247,0.152805,1.552597,-0.097602,0.746,143350064,i,2801,697041,98,0,1349451776,119,110,97,78,62,46,30,17,168,0,1524,19,0,0,1,0,0,98,1054,12.501464,99.0,301.077099,44.164366,-10.7,-1.5,0,0,7.0E-4,0
420041841440952,2617.661,12426.921,-10.396,301.074951,44.16436,12.833521,2.73469,12.589112,99.0,2411986.572442,14401.52,-10.3094,-11.0637,6.08,4081.839,1547.511,-59.81,0.399,5.0E-6,5.96,0.002966,3.1153,0.0,12.650251,0.127504,1.178856,-0.176633,0.398,143350064,i,4197,1125173,98,8402944,1349386243,21,17,11,9,5,4,2,2,34,0,1407,19,0,0,4,0,0,98,-1,12.589112,99.0,301.077097,44.164366,-10.7,-1.5,0,0,7.0E-4,0
420041841440952,3185.483,3106.241,-10.2036,301.076372,44.164218,12.723492,3.114103,12.297855,3.114103,2412041.450374,12062.36,-10.0141,-10.6564,4.68,3667.271,972.6567,-26.75,0.238,6.0E-6,6.09,0.003022,4.7986,0.0,12.305734,99.0,99.0,-0.203372,0.404,143350064,i,4708,209366,98,268482688,1214906371,24,20,17,13,8,4,3,2,24,5,359,19,0,0,7,0,8,98,420,12.297855,99.0,301.077096,44.164366,-10.7,-1.5,0,0,7.0E-4,0
