radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
300.185443,0.436,44.342465,0.43,4,14.512,0.055,15.19,0.03,14.788,0.065,14.294,0.018,14.166,0.043
300.186644,0.652,44.357031,1.219,3,15.816,-0,16.758,-0.072,16.272,-0,15.524,-0,15.173,-0
300.18781,0.35,44.520831,0.389,4,13.92,0.037,15.045,0.033,14.443,0.047,13.57,0.034,13.259,0.07
300.187906,0.533,44.291699,0.897,4,14.712,0.084,15.267,0.026,14.935,0.034,14.577,0.127,14.489,0.08
300.187998,1.128,44.441029,1.212,3,16.187,0.105,17.066,0.016,16.516,0.017,15.986,0.076,NA,NA
300.188074,0.804,44.42041,0.394,4,14.918,-0,16.767,-0.069,15.849,0.093,14.172,0.054,13.348,-0
300.189827,0.485,44.655944,0.551,4,14.697,0.04,16.532,0.024,15.579,0.067,14.032,0.03,12.476,0.08
300.192292,0.892,44.343826,0.917,5,14.219,0.087,14.64,0.029,14.347,-0,14.108,0.047,14.011,0.037
300.192452,0.766,44.343868,0.907,2,NA,NA,NA,NA,14.41,-0.007,NA,NA,NA,NA
300.193113,0.542,44.281003,0.665,4,13.862,0.04,14.255,0.045,13.982,0.054,13.736,0.087,13.598,0.034
300.193122,0.307,44.551848,0.423,5,12.565,0.081,14.442,0.046,13.482,0.076,11.93,0.038,11.207,0.054
300.193998,0.738,44.410467,0.502,5,13.764,0.033,14.164,0.046,13.887,0.046,13.698,0.059,13.704,0.037
300.194668,0.458,44.539877,0.678,4,14.939,0.031,15.532,0.046,15.162,0.056,14.802,0.053,14.627,0.117
300.195705,0.33,44.612536,0.533,4,14.831,0.014,15.609,0.073,15.151,0.052,14.54,0.038,14.262,0.078
300.198451,0.351,44.483364,0.514,5,12.385,0.026,12.759,0.038,12.485,0.046,12.27,0.052,12.25,0.011
300.201899,0.513,44.59846,0.51,4,15.094,0.068,16.664,0.083,15.858,0.063,14.567,0.035,13.982,0.083
300.202571,0.865,44.389355,0.966,3,15.375,0.096,16.908,0.046,16.18,0.068,14.864,0.089,14.317,0.071
300.203214,0.654,44.235168,0.638,4,15.296,0.009,16.085,0.023,15.611,0.041,15.037,0.053,14.845,0.07
300.204303,0.67,44.536642,0.826,3,16.358,0.025,16.98,0.113,16.545,0.061,16.02,0.034,NA,NA
300.205495,0.674,44.366344,1.253,4,16.172,0.075,16.801,0.078,16.332,0.094,16.047,0.13,15.442,-0
300.208088,0.707,44.497868,0.657,4,16.196,0.026,17.047,0.138,16.58,0.058,15.855,0.056,NA,NA
300.209993,0.403,44.392364,0.744,4,13.973,0.035,14.779,0.032,14.314,0.052,13.729,0.028,13.568,0.076
300.211603,0.547,44.55564,0.466,4,14.846,0.044,15.492,0.041,15.124,0.01,14.628,0.01,14.492,0
300.21172,0.369,44.432438,0.325,5,12.314,0.031,12.746,0.04,12.457,0.044,12.222,0.055,12.212,0.084
300.212578,0.3,44.699849,0.538,4,12.772,0.036,13.396,0.05,13.006,0.053,12.579,0.036,12.428,0.06
300.212802,0.41,44.254003,0.65,4,15.194,0.079,15.957,0.033,15.512,0.038,14.956,0.022,14.816,0.19
300.212861,0.444,44.624922,0.574,4,14.908,0.066,15.705,0.054,15.271,0.03,14.666,0.028,14.456,0.088
300.213288,0.455,44.227183,0.408,5,13.254,0.058,13.787,0.036,13.464,0.047,13.105,0.064,13.069,0.101
300.213366,0.412,44.659198,0.327,5,13.084,0.059,14.807,0.045,13.933,0.072,12.52,0.019,11.859,0.053
300.213821,0.312,44.363146,0.658,4,14.982,0.044,15.633,0.039,15.239,0.047,14.774,0.044,14.538,-0
300.214551,0.836,44.466525,0.849,2,16.258,0.054,17.344,0.08,16.707,0.083,15.973,0.119,15.613,-0
300.218193,0.383,44.651782,0.756,4,15.398,0.073,16.965,0.208,16.088,0.066,14.722,0.014,14.196,0.097
300.219109,0.59,44.32157,1.503,4,16.003,0.194,16.492,0.078,16.241,-0,15.763,-0,NA,NA
300.219293,0.375,44.479572,0.561,4,14.063,0.041,14.932,0.033,14.418,0.043,13.813,0.054,13.583,0.011
300.219359,0.437,44.280745,0.46,2,NA,NA,NA,NA,16.629,-0,15.361,-0,14.808,-0.062
300.219391,0.414,44.407258,0.552,5,12.725,0.035,13.034,0.045,12.794,0.049,12.703,0.049,12.718,0.065
300.219571,0.377,44.262592,0.433,4,13.577,0.092,15.376,0.039,14.504,0.065,12.936,0.016,12.261,0.077
300.221384,0.259,44.637664,0.405,2,15.036,-0,16.225,-0,15.572,0.072,14.743,0.038,14.401,-0
300.221798,0.535,44.688713,0.683,4,15.03,0.069,15.724,0.059,15.28,0.103,14.749,0.045,14.505,0.102
300.222078,0.373,44.199953,0.517,4,15.364,0.041,16.334,0.049,15.796,0.026,15.033,0.041,14.775,-0
300.224971,0.767,44.335976,0.934,3,15.84,0.127,16.622,0.177,16.248,0.069,15.533,0.035,15.173,-0
300.2252,0.623,44.371145,0.779,3,16.25,-0,16.98,-0,16.467,0.076,15.967,0.084,NA,NA
300.225225,0.332,44.703536,0.412,4,13.578,0.033,14.264,0.044,13.888,0.041,13.391,0.009,13.215,0.045
300.226439,0.527,44.344062,0.862,4,15.473,0.04,16.291,0.078,15.807,0.047,15.187,0.046,14.938,0.022
300.226715,0.555,44.391769,0.717,3,15.869,0.049,16.442,0.022,16.057,0.045,15.581,0.061,15.3,0.029
300.226886,0.787,44.277306,0.867,3,15.357,-0,16.938,-0,16.262,0.026,15.018,0.008,14.579,0.233
300.226962,0.376,44.538557,0.525,4,13.422,0.03,14.069,0.04,13.677,0.057,13.256,0.028,13.1,0.073
300.229992,0.482,44.419913,0.671,5,13.022,0.024,13.469,0.036,13.182,0.049,12.926,0.046,12.879,0.089
300.231203,0.46,44.240466,0.467,2,15.546,0.021,16.23,0.026,15.878,0,15.306,0.017,15.198,-0
300.23288,0.378,44.359374,0.638,4,14.24,0.037,14.936,0.014,14.527,0.034,14.021,0.056,13.963,0.177
300.232934,0.323,44.474613,0.692,4,14.292,0.039,15.064,0.045,14.617,0.055,14.1,0.065,14.042,0.101
300.233824,0.665,44.607492,0.797,2,15.927,0.006,16.642,0.014,NA,NA,NA,NA,NA,NA
300.234585,0.63,44.678132,0.532,4,14.577,0.034,15.162,0.059,14.82,0.05,14.363,0.062,14.189,0.046
300.235349,0.308,44.769322,0.577,4,14.642,0.067,15.341,0.074,14.892,0.072,14.391,0.037,14.205,0.063
300.235404,0.532,44.481553,0.737,4,13.916,0.034,14.479,0.052,14.135,0.055,13.753,0.05,13.637,0.077
300.237153,0.321,44.578506,0.401,5,11.917,0.01,12.375,0.046,12.074,0.048,11.797,0.057,11.744,0.085
300.23761,0.883,44.350148,1.178,3,16.557,0.176,17.293,0.045,16.83,0.039,16.3,0.118,NA,NA
300.237961,0.893,44.306991,1.215,3,16.083,0.095,16.936,0.008,NA,NA,NA,NA,15.368,-0
300.238019,0.31,44.492786,0.408,5,12.509,0.026,13.104,0.038,12.74,0.046,12.361,0.056,12.24,0.072
300.238048,0.436,44.4519,0.581,4,14.59,0.057,15.296,0.045,14.879,0.058,14.383,0.052,14.246,0.053
300.238706,0.659,44.518208,0.87,2,16.204,0.008,17.171,0.008,NA,NA,NA,NA,NA,NA
300.23872,0.385,44.633072,0.517,5,13.147,0.04,13.689,0.044,13.366,0.048,13.037,0.058,12.943,0.027
300.239697,0.866,44.704229,0.663,3,15.362,0.087,16.051,0.008,15.633,0.071,15.141,0.075,15.056,-0
300.24076,0.607,44.394829,0.709,4,15.169,0.078,15.932,0.021,15.459,0.059,14.886,0.05,14.689,0.073
300.240765,0.793,44.740519,0.476,2,16.223,-0,17.186,-0,16.613,0.045,16.163,0.092,15.881,-0
300.241881,0.533,44.602048,0.714,4,14.897,0.066,15.75,0.039,15.287,0.053,14.621,0.051,14.411,0.028
300.242848,0.289,44.428835,0.391,5,11.307,0.058,12.763,0.036,12.001,0.057,10.871,0.023,10.425,0.03
300.243084,0.534,44.226708,0.545,5,12.532,0.037,12.955,0.046,12.675,0.054,12.416,0.06,12.404,0.054
300.243198,0.453,44.421891,1.309,3,15.332,-0,NA,NA,NA,NA,NA,NA,14.964,0.123
300.243214,1.056,44.422996,0.982,2,15.352,0.006,16.087,0.136,NA,NA,NA,NA,NA,NA
300.243842,0.234,44.147579,0.669,4,14.728,0.063,16.229,0.078,15.472,0.055,14.235,0.038,13.71,0.043
300.245105,0.815,44.559501,0.62,2,15.808,-0,17.437,-0.114,16.607,0.102,15.255,0.059,NA,NA
300.246119,0.244,44.296317,0.354,5,11.029,0.053,12.081,0.035,11.513,0.058,10.729,0.038,10.462,0.063
300.247408,0.363,44.714361,0.306,5,10.488,0.03,10.973,0.047,10.701,0.065,10.371,0.047,10.249,0.066
300.247695,0.535,44.333431,0.634,5,13.723,0.047,14.843,0.039,14.228,0.054,13.387,0.041,13.026,0.028
300.248264,0.435,44.534346,0.483,2,15.803,0.008,16.656,0.043,16.16,0.065,15.548,0.078,15.27,-0
300.250087,0.713,44.611826,0.741,4,NA,NA,NA,NA,13.891,-0,12.335,-0,11.545,0.047
300.250315,0.592,44.190393,0.402,5,13.053,0.036,13.578,0.037,13.259,0.052,12.906,0.024,12.835,0.064
300.251539,0.458,44.697025,0.458,4,14.823,0.029,15.928,0.103,15.302,0.069,14.427,0.021,14.111,0.022
300.252145,0.537,44.806252,0.614,2,15.724,0.087,16.605,0.074,16.11,0.055,15.408,0.006,15.059,-0
300.253001,0.458,44.209887,0.573,5,13.528,0.041,14.14,0.043,13.781,0.055,13.414,0.061,13.28,0.006
300.253802,0.506,44.171261,0.732,4,15.114,0.062,15.721,0.063,15.356,0.061,14.928,0.022,14.902,0.048
300.254108,0.78,44.572304,0.64,3,15.978,0.05,16.923,0,16.451,0.062,15.688,0.061,15.288,-0
300.2546,0.539,44.161237,0.752,4,14.475,0.029,15.024,0.043,14.712,0.049,14.337,0.052,14.223,0.045
300.254834,0.386,44.392519,0.827,4,15.045,0.042,15.904,0.038,15.403,0.088,14.648,0.059,14.417,0.025
300.254927,0.501,44.447486,0.385,4,15.174,0.044,15.966,0.038,15.491,0.06,14.912,0.058,14.757,0.142
300.255032,0.54,44.796134,0.465,3,15.617,0.017,16.333,0.201,15.944,0.088,15.281,0.069,15.05,0.124
300.255629,0.387,44.582709,0.44,5,12.273,0.052,13.363,0.036,12.758,0.051,11.935,0.035,11.622,0.024
300.255676,1.203,44.672269,0.651,2,NA,NA,NA,NA,16.565,0.12,15.464,0.06,15.018,-0
300.256506,0.884,44.777213,0.661,4,15.224,0.05,16.127,0.113,15.601,0.073,14.835,0.079,14.45,0.071
300.257589,0.555,44.547365,0.733,4,15.522,0.042,16.752,0.112,16.04,0.094,15.073,0.036,14.529,0.077
300.25884,0.596,44.489228,0.604,4,15.277,0.037,15.909,0.064,15.509,0.044,15.05,0.054,14.96,0.159
300.25928,0.741,44.684468,0.516,3,15.865,0.166,16.725,0.161,16.155,-0,15.404,-0,NA,NA
300.259725,0.353,44.378715,0.394,5,12.482,0.053,13.651,0.036,13.024,0.063,12.147,0.033,11.787,0.073
300.259872,0.513,44.305211,0.715,3,14.254,0.127,14.721,0.06,14.357,0.08,14.097,0.137,14.148,-0
300.260177,0.647,44.180015,0.73,3,15.981,0.261,17.434,0.014,16.595,0.057,15.382,0.122,14.746,-0
300.260933,0.358,44.4618,0.651,4,13.786,0.047,14.567,0.048,14.109,0.041,13.574,0.039,13.395,0.072
300.261344,0.416,44.50345,0.697,4,15.654,0.034,16.517,0.057,16.03,0.069,15.355,0.039,15.057,-0
300.26149,0.675,44.433252,0.646,3,15.373,0.055,16.183,0.011,15.751,0.028,15.133,0.046,14.821,0.043
300.262025,0.563,44.352356,0.698,4,14.094,0.056,14.482,0.048,14.211,0.043,13.983,0.041,14.092,0.188
300.262575,0.626,44.748888,0.881,3,15.79,0.078,16.185,0.178,15.885,0.014,15.522,0.166,NA,NA
300.264109,0.855,44.318327,1.2,3,16.716,0.151,17.398,0.183,16.973,0.095,16.325,0.108,15.922,-0
300.264131,0.711,44.786526,0.794,2,15.946,-0,16.64,-0.068,16.255,-0,15.814,-0,15.248,-0
300.265061,0.312,44.67625,0.759,4,14.028,0.041,14.715,0.044,14.291,0.049,13.778,0.049,13.532,0.064
300.265179,0.772,44.692463,0.82,4,15.924,0.174,16.763,0.154,16.229,0.121,15.74,0.008,NA,NA
300.265324,0.528,44.23082,0.65,3,15.745,0.081,16.572,0.043,16.087,0.044,15.631,0.091,15.285,-0
300.265558,0.414,44.421921,0.567,5,12.583,0.061,14.045,0.041,13.276,0.058,12.166,0.03,11.758,0.048
300.266762,0.655,44.75935,0.808,3,15.711,0.085,16.517,0.086,16.022,0.037,15.458,0.112,15.234,0.074
300.266784,0.827,44.729881,0.623,3,15.489,0.055,16.144,0.044,15.705,0.055,15.223,0.012,14.974,-0
300.267004,1.55,44.767267,0.917,3,15.906,-0,17.285,-0.123,16.388,0.061,15.528,0.081,15.233,0.018
300.267129,0.351,44.482851,0.621,4,13.514,0.048,14.859,0.04,14.158,0.061,13.094,0.035,12.64,0.066
300.268194,0.628,44.122274,0.827,4,15.529,0.139,16.427,0.07,15.921,0.032,15.214,0.067,15.009,0.102
300.268378,0.736,44.263646,1.22,3,15.191,-0,16.284,-0,NA,NA,NA,NA,14.327,0.041
300.270161,0.464,44.406497,0.821,4,15.592,0.041,16.472,0.052,15.9,0.031,15.308,0.063,15.163,0.036
300.271122,0.416,44.250348,0.829,4,14.873,0.115,15.759,0.043,15.29,0.051,14.522,0.023,14.17,0.012
300.271357,0.395,44.371963,0.574,4,14.91,0.038,15.481,0.071,15.115,0.042,14.766,0.021,14.634,0.021
300.271949,0.304,44.707977,0.6,4,14.541,0.059,15.327,0.051,14.852,0.058,14.307,0.015,13.994,0.054
300.272924,0.786,44.219785,0.941,4,15.458,0.058,16.211,0.053,15.776,0.07,15.298,0.19,15.035,0.132
300.273129,0.594,44.80007,0.507,4,15.153,0.067,15.958,0.081,15.501,0.076,14.881,0.092,14.527,0
300.273212,0.562,44.71851,0.754,3,15.482,0.08,16.424,0,15.833,0.067,14.997,0.059,14.655,-0
300.273836,0.44,44.814397,0.971,2,16.198,0.045,16.972,0.133,NA,NA,NA,NA,NA,NA
300.27401,0.707,44.50819,0.347,5,14.371,0.028,14.825,0.041,14.528,0.05,14.223,0.035,14.181,0.098
300.27454,0.408,44.075123,1.11,2,15.489,0.109,16.847,0.057,16.151,0.041,15.142,0.062,14.742,0.022
300.275019,0.423,44.106093,0.996,4,15.637,0.13,16.382,0.014,15.87,0.189,15.342,0.03,15.043,-0
300.275029,0.474,44.519257,0.42,4,15.049,0.02,15.738,0.036,15.306,0.049,14.85,0.059,14.74,0.135
300.276246,0.656,44.827266,0.624,4,15.354,0.05,16.546,0.068,15.889,0.061,14.873,0.035,14.327,0.036
300.276465,0.554,44.467172,0.629,4,15.653,0.134,16.92,0.091,16.283,0.047,15.098,0.058,14.406,0.033
300.276999,0.383,44.210651,0.6,5,13.519,0.063,14.598,0.036,14.021,0.05,13.211,0.046,12.926,0.023
300.278267,0.379,44.491968,0.779,3,15.787,0.058,16.617,0.12,16.176,0.049,15.524,0.084,15.403,-0
300.278283,0.796,44.569015,1.024,2,16.041,0.104,16.822,0.107,16.47,-0,15.712,-0,NA,NA
300.278334,0.686,44.624494,0.602,5,14.469,0.057,15.017,0.049,14.652,0.065,14.278,0.025,14.173,0.131
300.278396,0.659,44.685497,0.58,2,16.351,-0,17.716,-0.191,17.083,-0,15.859,-0,NA,NA
300.27968,0.518,44.275573,0.461,4,15.025,0.06,15.734,0.052,15.321,0.062,14.839,0.019,14.638,0.061
300.279779,0.452,44.423599,0.909,4,14.861,0.064,15.459,0.051,15.126,0.036,14.695,0.047,14.565,0.051
300.280241,0.424,44.728049,0.318,5,13.163,0.036,13.734,0.037,13.379,0.051,13.003,0.053,12.85,0.066
300.281355,0.612,44.160908,0.904,4,15.894,0.051,17.31,0.021,16.608,0.071,15.41,0.095,14.796,0.021
300.281403,0.625,44.677169,0.655,3,13.273,-0,13.868,-0.007,13.511,-0,NA,NA,NA,NA
300.281525,0.363,44.676913,1.416,2,NA,NA,NA,NA,NA,NA,13.039,-0.006,NA,NA
300.28162,0.421,44.749739,0.468,5,13.759,0.048,15.226,0.048,14.439,0.056,13.28,0.033,12.752,0.059
300.282677,0.293,44.670318,0.336,5,11.889,0.064,12.446,0.056,12.089,0.047,11.725,0.057,11.596,0.076
300.28294,0.328,44.322009,0.699,4,13.459,0.014,13.889,0.048,13.601,0.046,13.367,0.053,13.366,0.046
300.284993,0.329,44.348165,0.396,5,11.942,0.089,13.883,0.028,12.911,0.076,11.339,0.027,10.399,0.064
300.285515,0.663,44.693707,0.74,2,16.507,-0,17.159,-0,16.706,0.042,16.287,0.008,NA,NA
300.286199,0.465,44.412689,0.639,4,14.457,0.021,15.103,0.057,14.704,0.049,14.255,0.03,14.146,0.049
300.286253,0.876,44.802201,0.464,3,15.64,0.081,16.543,0.154,16.046,-0,15.362,-0,14.955,-0
300.286513,0.5,44.871311,0.599,4,15.198,0.059,15.993,0.086,15.483,0.071,14.866,0.049,14.5,0.072
300.286625,0.496,44.792189,0.559,3,15.849,0.071,16.622,0.153,16.168,0.095,15.447,0.055,14.989,-0
300.28689,0.453,44.360044,0.569,4,14.293,0.029,15.017,0.04,14.578,0.045,14.09,0.038,13.98,0.094
300.287245,1.27,44.198849,0.859,2,16.721,-0,17.784,-0.143,17.295,0.16,16.43,0.063,15.864,-0
300.28729,0.443,44.844952,0.886,3,16.194,0.094,16.987,0.116,16.584,0,15.967,0.093,15.797,-0
300.287313,0.398,44.438009,1.105,2,15.95,0.155,16.376,0.049,15.981,-0,15.733,-0,15.358,-0
300.287717,0.657,44.111469,0.827,4,15.799,0.039,16.652,0.054,16.241,0.008,15.593,0.073,15.323,0.026
300.288083,0.517,44.624846,0.514,4,15.303,0.08,16.187,0.069,15.65,0.067,15.045,0.123,14.839,0.086
300.288418,0.337,44.561472,0.491,4,14.701,0.078,16.077,0.068,15.327,0.084,14.225,0.033,13.744,0.059
300.288579,0.594,44.530926,0.923,2,16.38,-0,17.514,-0.116,16.856,0.008,16.356,0.109,NA,NA
300.288836,0.783,44.425119,0.655,2,14.463,0.015,14.836,0.006,14.519,-0,14.311,-0,NA,NA
300.28995,0.407,44.058377,0.775,4,14.586,0.063,15.404,0.043,14.964,0.053,14.302,0.06,14.12,0.008
300.29037,0.554,44.238701,0.604,4,12.549,0.144,13.142,0.049,12.731,0.052,12.349,0.121,12.212,0.083
300.290946,0.423,44.12875,0.635,4,14.378,0.113,16.49,0.09,15.461,0.067,13.64,0.051,12.694,0.072
300.291978,0.75,44.751593,1.048,4,15.481,-0,16.622,-0.069,15.992,0.091,15.023,0.066,14.503,0.055
300.292039,0.286,44.730842,0.449,4,14.021,0.043,14.624,0.041,14.24,0.054,13.851,0.063,13.703,0.083
300.292589,0.324,44.828641,0.439,4,13.298,0.037,13.838,0.057,13.495,0.057,13.132,0.049,12.979,0.066
300.292664,0.731,44.180564,0.857,3,15.762,0.068,17.273,0.023,16.533,0.084,15.27,0.049,14.677,0.054
300.292692,0.381,44.078412,0.521,5,11.311,0.036,11.826,0.028,11.523,0.033,11.224,0.069,11.16,0.067
300.293651,0.533,44.835773,0.665,5,12.82,0.045,13.396,0.059,13.036,0.058,12.659,0.033,12.494,0.045
300.293749,0.376,44.288689,0.653,4,14.603,0.034,15.24,0.04,14.87,0.044,14.424,0.06,14.193,0.026
300.29387,0.744,44.815156,0.559,4,15.281,0.026,15.887,0.029,15.526,0.056,15.1,0.035,14.821,0.093
300.294119,0.473,44.381963,0.948,4,14.305,0.027,14.989,0.031,14.573,0.046,14.116,0.062,14.015,0.04
300.29434,0.662,44.653877,0.887,4,15.706,0.039,16.379,0.039,15.957,0.078,15.366,0.008,15.049,0.048
300.294729,0.633,44.187079,0.372,2,NA,NA,NA,NA,NA,NA,NA,NA,15.314,0.051
300.295239,0.467,44.305912,0.588,5,11.707,0.066,12.814,0.037,12.202,0.057,11.424,0.06,11.135,0.086
300.295603,0.453,44.349336,0.624,4,14.706,0.018,15.369,0.062,14.97,0.071,14.454,0.083,NA,NA
300.295793,0.584,44.593929,0.842,3,15.929,0.088,16.692,0.061,NA,NA,NA,NA,15.392,-0
300.295812,1.504,44.636247,0.872,2,16.34,0.102,17.097,0.092,NA,NA,NA,NA,NA,NA
300.295819,1.35,44.615704,0.536,3,16.074,0.068,17.323,0.077,16.52,-0,15.78,-0,NA,NA
300.295852,0.283,44.721921,1.545,3,14.392,0.021,15.451,0.072,NA,NA,NA,NA,13.952,0.198
300.296834,0.512,44.708481,0.648,2,15.6,0.1,16.31,0.1,15.901,-0,15.393,-0,NA,NA
300.297243,0.652,44.519989,0.927,4,15.918,0.042,16.689,0.045,16.297,0.039,15.599,0.043,15.409,0.124
300.298621,0.479,44.757451,0.582,5,13.37,0.015,14.002,0.04,13.625,0.024,13.182,0.027,12.986,0.081
300.298913,1.07,44.045426,0.855,3,16.344,0.094,17.561,0.058,16.949,0.047,16.022,0.201,15.524,-0
300.298949,0.788,44.801052,0.726,3,15.474,0.063,16.456,0.062,15.952,0.125,15.211,0.066,14.79,0.177
300.299328,0.12,44.698149,1.092,2,NA,NA,NA,NA,NA,NA,NA,NA,14.538,0.032
300.299524,0.655,44.743045,0.718,4,15.615,0.021,16.324,0.132,15.884,0.075,15.336,0.013,15.001,0.039
300.300498,0.869,44.661881,0.762,3,15.87,0.095,16.868,0.115,16.297,0.071,15.522,0.027,15.398,0.01
300.300682,0.502,44.059509,1.028,4,14.932,0.205,16.364,0.048,15.661,0.038,14.374,0.03,13.78,0.058
300.301669,0.426,44.512591,0.589,4,15.151,0.05,15.852,0.021,15.462,0.049,14.949,0.048,14.777,0.014
300.302028,0.595,44.323966,1.082,4,16.217,0.12,17.065,0.116,16.556,0.044,15.784,0.017,15.623,0.038
300.302241,0.371,44.702749,0.604,4,14.035,0.039,14.664,0.048,14.279,0.055,13.827,0.045,13.645,0.008
300.303177,0.542,44.37032,0.604,4,13.813,0.036,14.431,0.037,14.067,0.039,13.694,0.067,13.714,-0
300.303257,0.418,44.633385,0.983,3,15.938,-0,17.042,-0.087,16.413,0.068,15.322,0.006,14.84,0
300.30353,0.612,44.687895,0.569,4,15.311,0.045,16.09,0.07,15.583,0.065,15.146,0.098,14.947,0.188
300.305027,0.516,44.457741,0.653,4,15.107,0.026,15.734,0.047,15.336,0.043,14.898,0.039,14.716,0.051
300.305428,0.098,44.345402,1.345,2,16.104,-0,17.038,-0.077,NA,NA,15.734,-0,15.366,-0
300.305679,0.284,44.345827,0.408,2,16.251,-0,16.968,-0.076,16.524,0.011,15.819,-0,NA,NA
300.305725,0.346,44.382147,1.046,2,NA,NA,NA,NA,16.66,0.141,15.993,0.25,NA,NA
300.306202,1.045,44.449539,0.767,2,16.456,0.037,17.232,0.083,16.763,-0,16.4,-0,NA,NA
300.306596,0.593,44.208151,1.024,4,16.001,0.143,17.279,0.074,16.522,0.077,15.428,0.099,14.831,0.021
300.306953,0.663,44.781088,0.475,2,15.615,-0,17.418,-0,16.439,0.073,15.133,0.062,14.576,-0
300.307551,0.325,44.492733,0.625,5,12.643,0.042,13.113,0.04,12.78,0.051,12.491,0.058,12.363,0.073
300.307554,0.338,44.358555,1.117,3,16.17,-0,NA,NA,16.812,0.047,16.113,0.046,NA,NA
300.307841,1.091,44.359409,0.815,3,16.485,0.104,17.355,0.177,NA,NA,NA,NA,NA,NA
300.30983,0.63,44.396282,0.946,4,16.112,0.068,16.978,0.036,16.468,0.079,15.753,0.034,NA,NA
300.310069,0.238,44.263982,0.513,2,7.762,-0,8.703,-0,8.112,-0,7.437,-0,7.17,-0
300.310119,0.881,44.610366,0.561,4,15.568,0.068,16.605,0.109,15.892,0.067,15.091,0.059,14.541,0.184
300.310407,0.614,44.596191,0.696,4,14.122,0.092,15.196,0.086,14.583,0.077,13.734,0.044,13.194,0.159
300.312401,0.692,44.123055,0.961,4,16.078,-0,17.402,-0,16.76,0.051,15.548,0.045,15.049,0.11
300.312675,0.326,44.474981,0.896,5,12.313,-0,14.324,-0,13.334,0.083,11.895,0.087,11.088,0.044
300.314288,0.669,44.405754,0.826,3,15.251,0.031,15.792,0.049,15.456,0.033,15.104,0.033,15.17,0.146
300.315826,0.338,44.62178,0.499,5,13.467,0.022,14.21,0.047,13.777,0.045,13.26,0.047,13.119,0.078
300.315954,0.442,44.712583,0.417,5,13.035,0.039,13.564,0.04,13.223,0.051,12.871,0.051,12.77,0.094
300.316418,0.693,44.369013,0.886,3,16.35,0.127,17.151,0.123,16.62,0.119,16.027,0.045,NA,NA
300.317421,0.628,44.186675,0.649,2,16.461,-0,17.074,-0.08,16.589,0.04,16.221,0.011,NA,NA
300.317992,0.375,44.535147,0.453,5,11.957,0.04,12.278,0.055,12.025,0.053,11.883,0.017,11.849,0.059
300.319606,0.48,44.109675,0.593,5,12.248,0.038,12.769,0.041,12.468,0.031,12.114,0.057,12.03,0.065
300.322265,0.494,44.002386,0.672,4,14.982,0.039,17.321,0.093,16.078,0.108,14.129,0.031,13.139,0.112
300.322281,0.304,44.662643,0.337,5,11.125,0.03,12.166,0.046,11.587,0.061,10.819,0.01,10.519,0.051
300.322685,0.362,44.380509,0.513,4,13.925,0.048,14.986,0.051,14.424,0.048,13.543,0.023,13.282,0.079
300.323321,0.699,44.453871,1.502,2,16.655,-0,17.557,-0.13,17.127,-0,16.522,-0,NA,NA
300.323747,0.902,44.75057,0.718,3,15.69,0.006,16.469,0.061,15.894,-0,15.359,-0,15.048,0.014
300.323951,0.532,44.794353,0.601,3,15.67,0.033,16.63,0.138,16.055,0.095,15.354,0.063,14.982,0.086
300.324375,0.305,44.777478,0.477,4,14.492,0.034,15.243,0.04,14.825,0.055,14.26,0.058,13.933,0.067
300.324545,0.351,44.704257,0.455,5,11.381,0.043,12.611,0.049,11.94,0.062,10.993,0.02,10.603,0.055
300.324995,0.532,44.676473,0.764,4,15.494,-0,16.52,-0.062,15.988,0.029,15.056,0.042,14.609,0.095
300.326194,0.355,44.634244,0.599,4,14.909,0.033,15.681,0.035,15.24,0.06,14.611,0.044,14.421,-0
300.327351,0.585,44.426133,0.612,4,15.478,0.076,16.508,0.033,15.922,0.026,15.131,0.037,14.91,0.015
300.327878,0.785,44.729072,0.424,2,NA,NA,NA,NA,17.299,-0.075,16.518,-0,15.716,-0
300.328496,0.439,44.481796,0.615,3,14.869,0.165,15.701,0.052,15.192,0.057,14.568,0.065,14.321,0.032
300.329189,0.442,44.17514,0.504,4,13.936,0.051,14.623,0.038,14.225,0.042,13.747,0.055,13.616,0.058
300.329538,0.601,44.506059,0.276,4,15.179,0.051,15.893,0.048,15.455,0.056,15.027,0.047,14.797,-0
300.329755,0.483,44.581971,0.87,2,NA,NA,NA,NA,16.602,0.055,15.79,0.045,15.436,0
300.330314,0.879,44.685376,0.622,3,15.609,0.12,16.413,0.136,15.957,0.128,15.307,0.017,NA,NA
300.330929,0.744,44.052749,1.167,3,16.223,0.079,17.1,0.045,16.63,0.019,16.014,0.145,NA,NA
300.330973,0.587,44.277601,0.815,4,14.828,0.08,15.604,0.066,15.194,0.044,14.59,0.074,14.344,0.09
300.331859,0.459,44.341279,0.542,5,12.549,0.074,13.971,0.041,13.218,0.058,12.097,0.043,11.6,0.017
300.332296,0.462,44.885157,0.52,4,14.782,0.068,15.78,0.06,15.206,0.097,14.415,0.038,14.066,0.06
300.332488,0.441,44.144015,0.343,5,12.177,0.056,12.487,0.039,12.253,0.061,12.118,0.049,12.191,0.083
