radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
301.486099,0.371,44.075701,0.417,4,15.042,0.05,15.727,0.035,15.326,0.02,14.871,0.006,14.671,0.025
301.486144,0.622,45.018954,0.762,4,14.299,0.062,15.028,0.203,14.656,0.123,14.112,0.089,13.866,0.131
301.486496,0.484,44.06387,0.344,5,12.396,0.025,13.428,0.037,12.852,0.04,12.119,0.023,11.85,0.048
301.486562,0.878,45.309196,0.808,4,15.26,0.049,16.335,0.081,15.797,0.022,14.939,0.029,14.604,0.087
301.486695,0.6,44.324106,0.422,3,14.783,0.068,15.971,0.032,15.344,0.033,14.374,0.03,13.953,0.063
301.487057,0.832,45.373379,0.151,2,14.838,0.015,15.488,0.027,15.131,-0,14.649,-0,NA,NA
301.487114,0.437,44.529284,0.425,4,13.832,0.044,14.415,0.036,14.063,0.04,13.652,0.038,13.472,0.026
301.488111,1.594,45.296046,0.183,3,NA,NA,NA,NA,NA,NA,NA,NA,13.244,0.215
301.488181,0.654,44.970813,0.77,2,NA,NA,NA,NA,17.333,0.09,16.558,0.051,NA,NA
301.48903,0.82,43.689347,0.246,3,14.79,0.031,15.429,0.024,15.053,0.042,14.622,0.069,14.621,0.046
301.489195,0.957,45.009677,0.696,4,15.261,-0,17.114,-0,16.074,0.11,14.573,0.088,13.726,0.121
301.489577,0.628,45.085107,0.753,4,13.063,0.03,13.997,0.158,13.494,0.093,12.841,0.057,12.546,0.074
301.489643,1.13,45.2115,0.887,4,16.242,-0,17.724,-0,16.963,0.036,15.998,0.062,15.448,0.061
301.48965,0.775,45.2695,0.702,3,14.94,-0,15.983,-0,15.443,0.032,14.8,0.149,14.552,0.23
301.489819,0.922,44.749,0.954,2,16.207,0.053,16.862,0.097,16.537,-0,15.996,-0,15.62,-0
301.489858,0.338,43.794712,0.201,4,14.445,0.039,15.275,0.027,14.792,0.038,14.253,0.033,14.057,0.03
301.489984,0.473,44.677065,0.901,2,16.71,-0,17.635,-0.164,17.274,-0,16.272,-0,NA,NA
301.49079,0.454,44.123424,0.439,5,13.151,0.037,13.535,0.033,13.264,0.042,13.087,0.057,13.088,0.037
301.490926,0.498,44.266528,0.878,4,15.439,0.047,16.318,0.06,15.789,0.037,15.09,0.029,14.886,0.045
301.491349,0.423,43.818541,1.056,2,16.231,0.027,16.765,0.12,16.42,-0,16.062,-0,15.865,-0
301.491438,1.056,43.57135,1.053,3,16.539,0.008,17.579,0.022,17.042,-0,16.133,-0,15.679,-0
301.491893,0.601,45.42693,0.228,4,13.456,0.063,14.478,0.07,13.927,0.034,13.195,0.042,12.954,0.006
301.491962,0.993,43.520714,0.976,4,16.205,0.068,17.181,0.067,16.676,-0,16.002,-0,NA,NA
301.491997,0.52,44.771498,0.593,2,NA,NA,NA,NA,15.992,0.063,15.484,0.137,NA,NA
301.492343,0.803,43.464304,0.405,4,15.08,0.099,16.141,0.027,15.59,0.06,14.709,0.033,14.427,0.071
301.492555,0.598,45.222551,0.298,4,14.195,0.048,15.108,0.042,14.589,0.023,14.002,0.05,13.822,0.052
301.492716,1.019,44.316594,0.845,2,16.159,-0,16.927,-0.073,16.536,0.008,15.766,0.018,NA,NA
301.493289,0.805,45.067629,0.97,3,15.497,0.133,17.383,0.016,16.366,0.2,14.91,0.105,14.167,0.104
301.493295,0.54,44.198295,0.713,4,15.447,0.036,16.186,-0,15.765,-0,15.181,-0,14.789,0.137
301.493482,0.13,43.8248,0.153,2,NA,NA,NA,NA,NA,NA,NA,NA,13.249,0.053
301.493489,0.359,44.762948,1.906,3,16.678,-0,17.73,-0.199,17.029,-0,15.624,-0,14.928,0.079
301.493665,0.536,44.762397,0.678,2,16.182,-0,17.794,-0.182,16.878,0.077,15.579,0.018,NA,NA
301.494051,0.437,43.499456,0.321,4,14.445,0.043,15.173,0.033,14.751,0.045,14.282,0.027,14.186,0.041
301.494404,0.626,43.970393,0.599,2,16.272,0.076,17.475,0.025,16.852,-0,15.96,-0,NA,NA
301.494429,0.481,45.201588,0.5,4,15.418,0.087,16.288,0.044,15.835,0.033,15.11,0.066,14.811,0.078
301.495466,0.41,44.189146,0.722,2,16.032,0.043,16.778,0.021,16.336,-0,15.83,-0,15.587,-0
301.495922,0.815,43.908489,0.713,3,15.822,0.085,17.523,0.021,16.667,0.078,15.182,0.047,14.49,0.061
301.496659,0.648,44.480506,0.528,4,15.233,0.03,15.859,0.035,15.498,0.033,14.959,0.059,14.705,0.116
301.496671,0.36,44.17287,0.466,4,14.717,0.057,15.392,0.036,14.975,0.048,14.505,0.062,14.313,0.046
301.496942,0.636,44.575438,0.723,3,15.277,0.075,16.62,0.04,15.924,0.065,14.667,0.041,14.085,0.08
301.497467,0.432,45.231223,0.302,4,13.59,0.044,14.36,0.037,13.946,0.021,13.422,0.06,13.219,0.046
301.497709,1.119,45.145464,0.523,3,16.06,0.084,17.104,0.014,16.514,-0,15.687,-0,NA,NA
301.4983,0.554,43.899283,0.317,4,13.926,0.032,14.788,0.029,14.327,0.031,13.675,0.06,13.427,0.011
301.498458,0.415,43.704686,0.244,5,11.587,0.044,12.197,0.027,11.85,0.04,11.46,0.059,11.365,0.041
301.498705,0.82,43.673238,0.783,2,15.892,0.088,16.959,0.057,16.372,-0,15.748,-0,NA,NA
301.498799,0.424,44.901907,0.479,2,16.5,0.043,17.234,0.187,16.815,0.104,16.167,0.032,16.142,-0
301.498874,0.611,44.887807,0.613,5,13.389,0.05,14.269,0.156,13.75,0.053,13.06,0.058,12.713,0.075
301.49909,0.477,44.182216,0.358,4,14.532,0.043,15.205,0.017,14.797,0.03,14.321,0.023,14.12,0.089
301.499415,0.592,44.978271,0.758,4,14.87,0.116,16.893,0.187,15.842,0.105,14.228,0.083,13.392,0.087
301.499801,0.533,45.176723,0.435,4,15.343,0.026,16.452,0.065,15.896,0.054,15.124,0.038,14.924,-0
301.500009,0.447,44.361654,0.525,5,13.659,0.037,14.29,0.04,13.908,0.042,13.448,0.061,13.271,0.012
301.500092,0.442,43.618212,0.34,4,14.495,0.051,15.557,0.042,14.995,0.043,14.205,0.035,13.915,0.026
301.5003,0.653,44.959253,0.669,4,14.349,0.052,15.173,0.169,14.724,0.089,14.117,0.079,13.844,0.072
301.500383,0.495,43.540977,0.395,5,13.123,0.025,13.922,0.029,13.481,0.037,12.951,0.036,12.905,0.102
301.500438,0.783,43.798528,0.194,2,14.631,0.015,15.683,0.021,NA,NA,NA,NA,NA,NA
301.500873,0.401,45.437776,0.177,4,11.357,0.059,11.795,0.035,11.497,0.022,11.319,0.063,11.342,0.099
301.500879,0.586,43.87355,1.37,2,NA,NA,NA,NA,16.69,-0,15.975,-0,15.85,-0.124
301.500893,0.422,44.042999,0.267,5,13.228,0.023,13.98,0.047,13.544,0.048,13.051,0.04,12.904,0.006
