2414768.841839	1899.310526	12.25	 0.15	15.39	301.56483	 44.45729	 78.9	0.179	i22770	98	128	0.000700
2414781.823104	1899.346091	 0.00	 0.00	12.28	  0.00000	  0.00000	  0.0	0.000	ac00316	108	0	-1.000000
2414798.797986	1899.392597	12.17	 0.07	14.64	301.56512	 44.45719	 85.6	0.192	i22898	98	128	0.000700
2414809.664199	1899.422368	12.31	 0.12	14.55	301.56500	 44.45727	-37.4	0.161	i22981	103	128	0.000700
2414809.820029	1899.422795	12.18	 0.08	14.89	301.56520	 44.45732	 53.3	0.317	i22986	98	128	0.000700
2414809.838037	1899.422844	12.16	 0.21	12.76	301.56535	 44.45723	 62.7	0.375	i22987	98	128	0.000700
2414812.747464	1899.430815	 0.00	 0.00	12.07	  0.00000	  0.00000	  0.0	0.000	ac00344	99	0	-1.000000
2414814.584615	1899.435848	12.50	 0.24	13.58	301.56404	 44.45777	-73.4	0.322	i22995	98	128	0.000700
2414814.604007	1899.435901	12.21	 0.11	12.77	301.56535	 44.45735	  5.1	0.202	i22997	98	128	0.000700
2414814.614049	1899.435929	12.36	 0.24	13.44	301.56356	 44.45745	  3.8	0.321	i22998	98	128	0.000700
2414814.621667	1899.435950	12.21	 0.14	13.63	301.56483	 44.45660	 37.1	0.421	i22999	98	128	0.000700
2414814.690232	1899.436138	12.30	 0.06	14.06	301.56502	 44.45760	 16.5	0.361	i23003	98	128	0.000700
2414814.758451	1899.436325	12.23	 0.07	14.40	301.56514	 44.45743	 17.2	0.268	i23008	98	128	0.000700
2414814.827016	1899.436512	12.23	 0.10	14.47	301.56501	 44.45749	 44.7	0.145	i23010	98	128	0.000700
2414823.568185	1899.460461	 0.00	 0.00	12.76	  0.00000	  0.00000	  0.0	0.000	i23042	98	0	-1.000000
2414825.744425	1899.466423	12.22	 0.08	14.15	301.56499	 44.45719	 -0.9	0.325	i23061	98	128	0.000700
2414832.644525	1899.485327	12.28	 0.21	13.67	301.56467	 44.45705	 33.0	0.326	i23080	115	128	0.000700
2414832.756721	1899.485635	12.38	 0.19	13.68	301.56479	 44.45708	 63.2	0.199	i23082	98	128	0.000700
2414832.793428	1899.485735	12.45	 0.18	13.56	301.56491	 44.45773	 89.2	0.126	i23083	98	128	0.000700
2414832.819052	1899.485806	12.08	 0.17	13.71	301.56512	 44.45704	 36.0	0.284	i23084	98	128	0.000700
2414846.768766	1899.524024	12.33	 0.12	14.71	301.56493	 44.45711	 76.3	0.096	i23144	103	128	0.000700
2414847.719658	1899.526629	12.16	 0.10	13.98	301.56531	 44.45705	-54.0	0.477	i23150	98	128	0.000700
2414874.652278	1899.600417	 0.00	 0.00	11.72	  0.00000	  0.00000	  0.0	0.000	ac00382	128	0	-1.000000
2414881.640438	1899.619563	 0.00	 0.00	11.49	  0.00000	  0.00000	  0.0	0.000	ac00391	108	0	-1.000000
2414903.736191	1899.680099	 0.00	 0.00	11.45	  0.00000	  0.00000	  0.0	0.000	ac00418	130	0	-1.000000
2414911.546405	1899.701497	 0.00	 0.00	11.88	  0.00000	  0.00000	  0.0	0.000	ac00425	130	0	-1.000000
2414921.704358	1899.729327	 0.00	 0.00	10.96	  0.00000	  0.00000	  0.0	0.000	ac00456	128	0	-1.000000
2414933.551089	1899.761784	 0.00	 0.00	10.89	  0.00000	  0.00000	  0.0	0.000	ac00468	128	0	-1.000000
2414940.589804	1899.781068	 0.00	 0.00	11.87	  0.00000	  0.00000	  0.0	0.000	ac00474	108	0	-1.000000
2414965.547168	1899.849444	 0.00	 0.00	12.48	  0.00000	  0.00000	  0.0	0.000	ac00502	130	0	-1.000000
2414998.493769	1899.939709	 0.00	 0.00	12.13	  0.00000	  0.00000	  0.0	0.000	ac00577	108	0	-1.000000
