,REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex,isodate,decimalyear
16,420061551442725,10735.928,13087.683,-11.822000000000001,301.565062,44.457264,12.702478999999999,0.180786,12.212311999999999,0.162443,2412674.755495,53555.68,-11.0139,-12.1836,5.13,5906.661,1289.48,-73.48,0.183,1.7e-05,8.01,0.003989,1.4618,0.0,13.565401999999999,0.126612,0.9098440000000001,0.10167899999999999,0.42100000000000004,143663284,i,8993,241747,98,128,1349451776,70,66,56,45,40,28,19,12,54,0,1480,19,0,0,1,2,17,98,657,12.212311999999999,99.0,301.564936,44.457157,-11.6,-10.0,0,0,0.0007,0,1893-07-30 06:07:54.768,1893.5760424520552
17,420061551442725,3723.802,13120.336000000001,-12.7255,301.565028,44.456922,12.674358999999999,0.157118,12.253067,0.196485,2412684.6624720003,123079.0,-11.4855,-12.8466,3.5,3883.657,2337.76,82.85,0.24,2.9999999999999997e-05,11.6,0.0057729999999999995,2.7012,0.0,12.818708,0.191432,0.980425,0.012624,0.39799999999999996,143663284,i,9114,327518,98,128,1349451776,118,100,79,61,46,29,14,7,75,0,1460,19,0,0,3,0,17,98,1029,12.253067,99.0,301.564936,44.457157,-11.6,-10.0,0,0,0.0007,0,1893-08-09 03:53:57.581,1893.6031848547955
19,420061551442725,3336.1259999999997,12925.258999999998,-13.3543,301.56507400000004,44.457161,12.778145,0.148823,12.265031,0.095337,2412727.547286,219650.1,-11.984000000000002,-13.4044,4.77,3535.631,2926.281,84.7,0.397,4.1e-05,12.24,0.006094,2.8664,0.0,14.358163000000001,0.154824,1.707998,0.082618,0.39899999999999997,143663284,i,9512,988064,98,0,1349451776,168,158,139,121,93,67,41,26,53,0,1459,19,0,0,3,0,0,98,1028,12.265031,99.0,301.564936,44.457156,-11.6,-10.0,0,0,0.0007,0,1893-09-21 01:08:05.510,1893.7206774958906
20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2412761.4689040002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.099765,0.0,0.0,0.0,0.0,0,i,9744,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,2048,103,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0,1893-10-24 23:15:13.306,1893.813613435617
22,420061551442725,6473.789000000001,5690.8730000000005,-12.2257,301.56498500000004,44.457063,12.923947,0.23600100000000002,12.525142,0.13849,2412993.612858,77676.98,-10.9432,-12.4226,3.77,4802.99,1266.672,61.3,0.309,2.6000000000000002e-05,12.42,0.006181,2.8582,0.0,14.061005999999999,0.160469,1.8969150000000001,-0.23554699999999998,0.612,143663284,i,11180,175073,98,0,1349451776,103,95,86,74,63,46,34,15,40,0,618,19,0,0,4,1,0,98,861,12.525142,99.0,301.564932,44.457153999999996,-11.6,-10.0,0,0,0.0007,0,1894-06-14 02:42:30.931,1894.4496242684938
24,420061551442725,3938.8309999999997,6102.294,-12.9505,301.56503599999996,44.457449,12.913048,0.154893,12.355424000000001,0.09261799999999999,2413051.560716,151432.2,-11.29,-12.9896,3.5,3506.664,1955.6979999999999,46.58,0.504,3.8e-05,19.17,0.009534,3.4101,0.0,12.942376,0.098139,0.950361,0.094144,0.433,143663284,i,11325,226216,98,128,1349451776,154,148,127,112,95,80,65,16,59,0,661,19,0,0,5,0,1,98,877,12.355424000000001,99.0,301.564932,44.457153999999996,-11.6,-10.0,0,0,0.0007,0,1894-08-11 01:27:25.862,1894.6083855232876
25,420061551442725,22943.068,31662.016,-14.1536,301.564935,44.457127,12.377588000000001,0.19709000000000002,12.168472999999999,0.083222,2413059.6047150004,458618.0,-13.3533,-14.2581,3.5,3526.094,1946.6070000000002,-26.47,0.222,1.6e-05,27.18,0.004939,2.6372,0.0,13.991044,0.140149,0.848799,-0.134481,0.401,143663284,a,820,504273,98,0,1349453824,490,462,397,321,229,146,76,28,82,0,2086,1,0,0,6,0,0,98,337,12.242488,0.062775,301.564932,44.457153999999996,-11.6,-10.0,0,0,0.0075,0,1894-08-19 02:30:47.376,1894.6304238767134
26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2413095.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.770893,0.0,0.0,0.0,0.0,0,a,874,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2048,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0,1894-09-24 01:50:52.800,1894.7289780821918
30,420061551442725,11647.676000000001,15091.497,-12.8132,301.564823,44.457303,12.868128,0.14303,12.305724,0.06042,2413405.753393,133443.5,-11.6803,-12.8719,3.6,3600.7129999999997,2182.406,-53.99,0.267,3.2e-05,8.83,0.0043939999999999995,2.5222,0.0,14.081997,0.140548,1.365653,0.13530799999999998,0.42100000000000004,143663284,i,13143,405392,98,128,1349451776,129,121,105,89,76,59,46,28,59,0,1733,19,0,0,3,0,17,98,1095,12.305724,99.0,301.564927,44.457151,-11.6,-10.0,0,0,0.0007,0,1895-07-31 06:04:53.155,1895.578776419178
31,420061551442725,4296.764,5248.257,-12.9963,301.56492799999995,44.457366,13.007715,0.235127,12.414528,0.14921700000000002,2413408.6832459997,157943.0,-11.424000000000001,-13.0666,3.5,5943.125,1643.945,35.45,0.22699999999999998,3.7e-05,13.72,0.006823,3.6139,0.0,13.992532999999998,0.17535499999999998,1.147861,0.163707,0.39899999999999997,143663284,i,13161,124821,103,128,1349454848,148,140,131,115,93,78,51,28,43,0,562,19,0,0,5,0,1,103,460,12.37101,0.110794,301.564927,44.457151,-11.6,-10.0,0,0,0.0007,0,1895-08-03 04:23:52.454,1895.586803413698
